quote,author,category
"If there is a war to be fought, we don’t consider cost one of the factors in deciding whether or not to fight.","Philip Pullman, The Golden Compass",war
"This was how girls left. They packed up their suitcases and walked away in high heels. They pretended they weren't crying, that it wasn't the worst day of their lives.","Janet Fitch, White Oleander","astrid, oleander, quote, white"
Using someone else’s ruler to measure your self-worth will always leave you short.,Charles F. Glassman,"inspirational, life, motivational, self-worth"
"An intelligent person has knowledge, but a wise person has experience with humility.",Debasish Mridha M.D.,"debasish-mridha, humility, inspirational, intelligence, intelligent-person"
You'll never understand me as long as you're looking at me through society's lenses.,Robert Tew,"advice, deep, life, me, self"
This was why Kiki had dreaded having girls: she knew she wouldn't be able to protect them from self-disgust.,"Zadie Smith, On Beauty","beauty, daughters, girls"
"To four years until freedom,"" she said lifting her glass.He raised his in salute. ""To you, Celaena."" Their eyes met, and Chaol didn't hide his smile as she grinned at him. Perhaps four years with her might not be enough.","Sarah J. Maas, Throne of Glass","chaol-westfall, four-years, future, sweet"
No one knows you better than the one who created you.,Lailah Gifty Akita,"creation, inspirational, life-lessons, self-help, self-love"
"Once the illusion (branti) goes away, one can see ‘as it is’, and that is why ignorance goes away. When ignorance goes, maya (deceit) goes. Once God’s maya is gone, the solution is found.",Dada Bhagwan,"spiritual, spiritual"
"It doesn’t matter your area of calling, you can invest quality time into it, you will definitely become the best and that will buy you greatness.","Sunday Adelaja, The Veritable Source of Energy"," calling, conversion, convert, gift, great"
Success  which is something so simple in the end  is made up of thousands of things  we never fully know what.,Rainer Maria Rilke,success
The next presumption is always valid: one's knowledge corresponds toone's intellectual capacity.,Eraldo Banovac,"intellectual-capacity, knowledge, knowledge"
It is a sign of creeping inner death when we can no longer praise the living.,Eric Hoffer,"living, praise, sign "
"If you judge art be its cover, you efface the very essence of it",Evy Michaels,"art, essence, judge"
"And although I appreciated their kindness more than they would ever know, it's a fact that friends last longer the less you use them.","Lisa Kleypas, Sugar Daddy",friendship
"If safety is my goal, living life is not.",Craig D. Lounsbrough,"calling, diminish, diminished, existence, existing"
The funny thing about facing imminent death is that it really snaps everything else into perspective.,"James Patterson, The Angel Experiment","death, understanding"
"Parents don't become inaccessible to your Children, when they don't get the right information from you, they may get the wrong one from an outsider; you are their Caretaker..be wise!","Jaachynma N.E. Agu, The Best Option","children, family, godly-parenting, love, resposibility"
"Merely by doing darshan of just one kashay free person, one’s paap (sins; demerit karmas) get washed away! There can be no kashay-free person other than a Gnani.",Dada Bhagwan,"conflict, enlighted-one, karma, spiritual, spirituality"
A true leader leads his people from the front and if he falls into a pit the people will surely not follow.,Amit Abraham,"followers, leadership"
In essence  the renaissance is simply the green end of one of civilization's hardest winters.,John Fowles,"history, historians"
"If you just want to do something because it is a customary new year resolution, then soon enough the year will get a bit older, and the strength of your decision will also begin to wear off.","Archibald Marwizi, Making Success Deliberate","attitude, effectiveness, excellence, growth, inspirational"
My wish is that you may be loved to the point of madness.,"André Breton, What is Surrealism?: Selected Writings","love, madness"
Life demands death. Life demands death to ego – A state when we only think and care about ourselves.,Sunday Adelaja,"about, care, death, demand, ego"
"When your intentions are pure, so too will be your success.",Charles F. Glassman,"failure-success, intention, intentional-living, meditation, spiritual"
"But nothing less than the most radical imagination will carry us beyond this place, beyond the mere struggle for survival, to that lucid recognition of our possibilities which will keep us impatient, and unresigned to mere survival.","Adrienne Rich, On Lies, Secrets, and Silence: Selected Prose, 1966-1978",imagination
"A millionaires' mindset focus moves from posessions to feelings, once they become conscious and awake.",Tony Dovale,"attitude, mindset, success, success-strategies, tony-dovale"
...all she could think was 'This is how close a kiss is'. It felt every bit as dangerous as she'd imagined.,"Maggie Stiefvater, The Raven Boys","kiss, romance"
"They were dealt with as in war, and they naturally employed the means that were used against them.","Leo Tolstoy, Resurrection","political-activism, political-terrorism, prisoners, terrorism, war"
"Growing up is like that, I suppose. The strings fall away and you're left standing on your own.","Alan Bradley, Thrice the Brinded Cat Hath Mew'd","family, growing-up"
"I have no expectation that any man will read history aright who thinks that what was done in a remote age, by men whose names have resounded far, has any deeper sense than what he is doing today.","Ralph Waldo Emerson, The Essays of Ralph Waldo Emerson","courage, history, purpose, vocation"
The only time I ever enjoyed ironing was the day I accidentally got gin in the steam iron.,Phyllis Diller,"time, day, iron "
"Connie felt again the tightness, niggardliness of the men of her generation. They were so tight, so scared of life!",D.H. Lawrence,"feelings, man"
"Woe to the man whose heart has not learned while young to hope, to love - and to put its trust in life.",Joseph Conrad,"love, life, trust "
A smile is a curve that sets everything straight.,Phyllis Diller,humor
The earth is crying for people who make sound judgement and informed decisions.,Sunday Adelaja,"crying, earth, informed-decisions, judgement, people"
"You think I'm gorgeous?”“When I look at you, all I can think about are the the different ways I'd like to fuck you.”“So that's a yes then?” she said shyly.“No, darlin. It's an I-hope-you-weren't-planning-on-sleeping-alone-tonight.","Nenia Campbell, Locked and Loaded","romance, sex, sexy"
What is suspicion? It is a tool to ruin one’s own Soul.,Dada Bhagwan,"atma, self, soul, spiritual, spiritual"
"Play the game of life, without any fear.","Lailah Gifty Akita, Pearls of  Wisdom: Great  mind","advice, daily-motivation, fear, game, inspiration"
"It was love, the real thing, nothing less or different.","Anuradha Bhattacharyya, The Road Taken","love, love, love-story, lovers"
"When their minds mingle with His magnanimity, something of eternity rubs off on their imaginations.",Geoffrey Wood,"christian-fiction, christianity, god, grimrack, imagination"
You're either reading a book or you're not.,Jonathan Franzen,"books, or-not, reading"
"Always be a poet, even in prose.",Charles Baudelaire,"poetry, prose, writing"
"Sometimes what may appear as unfair, may actually be a huge favor from the Universe, pushing you in the right direction to live your dreams.","Julieanne O'Connor, SPELLING IT OUT FOR YOUR CAREER","career, career-development, career, death, happiness"
"Respect everyone who crosses your path, even if you feel they don't deserve it.","Alaric Hutchinson, Living Peace","acceptance, consciousness, growth, inner-peace, inspirational"
"Sometimes, sleepers turn up as common people who do everyday things, and create a new destiny for themselves when nobody’s watching.","Dragos Bratasanu, Ph.D., Sleepers: A Little Book on How to Find Hope, Meaning and the Courage to Fall in Love with Your Dreams","destiny, extraordinary-people, sleepers, unique"
I think it’s the books that you read when you’re young that live with you forever.,J.K. Rowling,"books, forever, reading, young"
Reality can exceed even your wildest dreams.,"Brownell Landrum, Repercussions: DUET stories Volume IV - Adult Version","brownell-landrum, dream, duet-stories, reality, repercussions"
"Business is not about negotations, its about mutually finding a point of balance where both parties find their objectives meeting.","Sukant Ratnakar, Open the Windows","business, negotation"
"Remember, if you don’t do anything – if you don’t change the way your mind works and direct your subconscious mind to create the life you want – then everything stays the same, nothing changes.","Steve Backley, The Champion in all of Us: 12 Rules for Success","allegorical, inspirational, life-changing, motivational, new-thought"
A writer is rarely so well inspired as when he talks about himself.,Anatole France,inspiration
"In life; there are two things you should never believe: the tears of women and the hearts of men, and there are two things you should always believe in life; the hearts of women, and the tears of men.","Eyden I., Woman's Book: Only For Men","believe, inspirational, life, tears"
Hearing nuns' confessions is like being stoned to death with popcorn.,Fulton J. Sheen,"catholicism, confession, humor, religion, simile"
"Have the courage to be ignorant of a great number of things, in order to avoid the calamity of being ignorant of everything.",Sydney Smith,"great, ignorant, number "
"Older women are best, because they always think they may be doing it for the last time.",Ian Fleming,"time, best, think "
There is scarcely any passion without struggle.,"Albert Camus, The Myth of Sisyphus and Other Essays","existentialism, passion, struggle"
Sometimes we are very convinced that what we went through needs to be re-lived so we end up going back and forth to the demons of the past and eventually we fail to get over them.,"Stephen Richards, The Pain You Feel Today Is The Strength You Feel Tomorrow","empowering, forgive, forgiven, forgiveness, mental-abuse"
"A clear vision, backed by definite plans, gives you a tremendous feeling of confidence and personal power.","Brian Tracy, The Gift of Self-Confidence","confidence, life, planning, wisdom"
My greatest treasure is my thoughts.,Lailah Gifty Akita,"creativity, encouragement, imagination, potential, pure-thoughts"
"Whilst you can be a stepping stone to help others succeed, you are not a dirty mat to be abused by others.","Archibald Marwizi, Making Success Deliberate","attitude, effectiveness, excellence, growth, inspirational"
Those who have eyes…do not know their happiness.,"André Gide, La symphonie pastorale","happiness, seeing"
"He promised her that he would give her everything, everything she wanted, as men in love always do. And she trusted him despite herself, as women in love always do.","Philippa Gregory, The White Queen",love
"Do not lose hope — what you seek will be found. Trust ghosts. Trust those that you have helped to help you in their turn. Trust dreams. Trust your heart, and trust your story. (from 'Instructions')","Neil Gaiman, Fragile Things: Short Fictions and Wonders","hope, life, story, trust"
The greatest duty of life is to find the ultimate purpose of life. The second greatest duty is to put a laser focus on it and take action.,Debasish Mridha,"debasish-mridha, inspirational, philosophy, quotes, take-action"
No dream can be more beautiful than the reality itself!,Mehmet Murat ildan,dream
It's never too late to love and live again.,Debasish Mridha,"education, happiness, hope, inspirational, intelligence"
I don't want to tax my mind to find perfect Iron Man line.~ Aarush Kashyap,"Kirtida Gautam, #iAm16iCan","aarush-kashyap, courage, fearless, rape-culture, teenagers"
"Sex should be about mutual enjoyment, connection, the borrowing from another’s fire at a moment when you want it most.","Alessandra Torre, Sex Love Repeat","fire, passion, sex, sexuality"
"Is there not glory enough in living the days given to us? You should know there is adventure in simply being among those we love and the things we love, and beauty too.","Lloyd Alexander, The Black Cauldron","adventure, love"
"I come here with no expectations, only to profess, now that I am at liberty to do so, that my heart is and always will be...yours.","Jane Austen, Sense and Sensibility","devotion, love"
"A home filled with nothing but yourself. It's heavy, that lightness. It's crushing, that emptiness.","Margaret Atwood, The Tent","home, life"
"Love thy soul, manifest thy light","Lailah Gifty Akita, Pearls of  Wisdom: Great  mind","advice, belief, believers, capabilities, christian"
"There are women named Faith, Hope, Joy, and Prudence. Why not Despair, Guilt, Rage, and Grief? It seems only right. 'Tom, I'd like you to meet the girl of my dreams, Tragedy.' These days, Trajedi.","George Carlin, Brain Droppings","humor, names, trends"
Support those that have supported you.,Avina Celeste,"inspirational, motivational, support"
Our confident hope is our great trust in God.,"Lailah Gifty Akita, Pearls of  Wisdom: Great  mind","affirmation, believe, challenges, christian, god"
You can only make magic if you act at the right time when the right conditions are in place,"Bangambiki Habyarimana, Book of Wisdom","magic, magic-spirit, magical, magician, magick"
"I make art, sometimes I make true art, and sometimes it fills the empty places in my life. Some of them. Not all.","Neil Gaiman, The Ocean at the End of the Lane",art
A vision is something that holds you up when everyone pushes you down.,Alin Sav,motivational
Don’t you think it’s better to continue reading than to just close the book?,"Rebecca McNutt, Shadowed Skies: The Third Smog City Novel","book, close, death, life, reading"
I wonder how one can hate to love and love to hate the same person over a period of time in a relationship,Amit Abraham,"emotions, hate, love, relationship, wonder"
"By studying human history, we can realize how much of human stupidity has fallen on fertile ground. Is gravity guilty for such an occurrence too?",Eraldo Banovac,"funny-quotations, funny"
Do not spend all your strength to make money.,Lailah Gifty Akita,"advice, life-lessons, money-job, rich, spending"
"Art makes the spirit soar. And when the spirit is lifted, life follows.","Adriana Trigiani, Don't Sing at the Table: Life Lessons from My Grandmothers","art, life"
"A stóirín, ya are a handful of trouble, but I kind of like it.","Michelle M. Pillow, Love Potions","friends, humor, love-potions, macgregor, magic"
"Oh sorry, I was taking life seriously.",Bill Hicks,life
The greatest evil that can befall man is that he should come to think ill of himself.,Johann Wolfgang von Goethe,spiritual
If you want to conquer fear  don't sit at home and think about it. Go out and get busy.,Dale Carnegie,"success, happiness"
"Nice words and nice appearance doesn't conclude that someone is nice, i believe that the nicer you look, the more deceptive you appear.",Michael Bassey Johnson,"aloof, alter-ego, appearance, beauty, deception"
Of my friends  I am the only one I have left.,Terence,friendship
"We only realize what happiness is about, after it has slammed the door to our inattention; and killing silence has deafened the tunefulness of our life. (""Happy days are back again"")",Erik Pevernagie,"back-again, deafen, door, happiness, happy-days"
"For me, the most interesting people seem to have the bumpiest pasts. I prefer to connect with someone who has experienced the struggles, battles, and casualties of life’s journey. There is beauty, wisdom, and truth to be found in the scars.",Steve Maraboli,"inspiration, journey, life, motivation, scars"
Literature is news that stays news.,"Ezra Pound, ABC of Reading","books, literature, reading"
"If some musicians put half as much effort in to the business side as they do their outer look and appearances, they could be twice as far.",Loren Weisman,"appearances, business, determination, drive, fashion"
True love is when you relish the orange she eats.,"Tapan Ghosh, Faceless The Only Way Out","love, love-quote, love, true-love"
"A book, too, can be a star 'explosive material, capable of stirring up fresh life endlessly.",Madeleine L'Engle,"book, life, star"
Remembering that you are going to die is the best way I know to avoid the trap of thinking you have something to lose.,Steve Jobs,"death, hope, inspirational, life, motivatonal"
"The only difference between the saint and the sinner is that every saint has a past, and every sinner has a future.",Oscar Wilde,"past, difference, sinner "
Fear is really quite tedious. She wanted to be rid of it as soon as possible.,"Jim Butcher, The Aeronaut's Windlass","courage, fear"
You cannot catch a whale and a fish with the same bait.,Matshona Dhliwayo,"fish, nature, wisdom, wise, wise-sayings"
Small truths have greater power than big lies.,Matshona Dhliwayo,"candor, deciet, honesty, lie, life"
"[I]f we revert to history, we shall find that the women who have distinguished themselves have neither been the most beautiful nor the most gentle of their sex.","Mary Wollstonecraft, A Vindication of the Rights of Woman","achievement, beauty, clichés, distinction, empowerment"
"Aren't 3,000 lives worth a miracle to a good and all-powerful god?","Zack Love, The Doorman","9-11, alex, beautiful, faith, god"
To be ill adjusted to a deranged world is not a breakdown.,Jeanette Winterson,"mental-illness, society, world"
"Why is it that when you awake to the world of realities you nearly always feel, sometimes very vividly, that the vanished dream has carried with it some enigma which you have failed to solve?","Fyodor Dostoyevsky, The Idiot","dreams, meaning, reality"
"The sound of a kiss is not as strong as that of a cannon, but its echo endures much longer.","Richard Paul Evans, The Last Promise","inspirational, kiss, love"
"The first rule about the low hanging fruit principle is to always watch out for low hanging branches, they’re the ones to take it away from you.",Stephen Richards,"cosmic, cosmic-ordering, mind-power, money, new-age"
"By nature men are uncontrollable and wild, and it should be, but women have the key to control them, if they know how to use it.",Debasish Mridha,"control, education, happiness, hope, inspirational"
"as long as there arehuman beings aboutthere is never going to beany peacefor any individualupon this earth (oranywhere elsethey mightescape to).all you can dois maybe grabten lucky minuteshereor maybe an hourthere.somethingis working toward youright now, andI mean youand nobody butyou.","Charles Bukowski, You Get So Alone at Times That it Just Makes Sense","alone, death, force, human-beings, humanity"
"As troubles bring money, money in turn can also bring troubles.",Anthony Liccione,"consequences, control, money, troubles"
The only chains you should wear in life are the chains of commitment.,Shannon L. Alder,"commitment, contracts, duty, friendship, honor"
"Without the journey and crucial moment of understanding, I would still be questioning everything before me. I know now that I must trust what comes next, for there is a plan greater than the one I can see at work.","Brynn Myers, Falling Out of Focus"," fae, fantasy, fantasy-fiction, otters, self-discovery"
"When I see an arrogant man, I see one less competitor.",Amit Kalantri,"against, amit-kalantri, arrogance, arrogant, art"
And yet another moral occurs to me now: Make love when you can. It's good for you.,"Kurt Vonnegut Jr., Mother Night","humor, love, morality, sex"
"But I know I will do neither; nothing. I have all the time in the world, and yet, I can't be bothered.","Sara Baume, A Line Made by Walking"," depression, inaction, sara-baume"
God will never leave nor forsake you even at the time of the most difficult trials,Sunday Adelaja,"calling, fulfillment, goals, life, purpose"
"I think children love reading, and they will make time for it if we put the right books into their hands. And I hope I get the chance to keep being one of the people that writes them.",Rick Riordan,"love, time, hope "
Let strength & wisdom carry you forward beyond the limited horizons — you may have once envisioned.,"Eleesha, The Soulful Pathway to Quotes: Soulfully Inspiring and Uplifting You Daily by Utilizing the Power of Positive Quotes","affirmations, channeling, empowerment, inspirational, motivational"
We stand in the awe of God’s greatness.,"Lailah Gifty Akita, Pearls of  Wisdom: Great  mind","answered-prayers, christian-life, faith, god, hope"
I am treating you as my friend  asking you to share my present minuses in the hope I can ask you to share my future pluses.,Katherine Mansfield,friendship
"Achieving your heart’s desire is the key to living a life of bliss, bring your heart alive with a passion for living.","Steven Redhead, Unleash The Power of Your Heart and Mind","bliss, desire, heart, life, passion"
Like fragile ice anger passes away in time.,Ovid,"time, like, fragile "
Hope doesn't require a massive chain where heavy links of logic hold it together. A thin wire will do...just strong enough to get us through the night until the winds die down.,Charles R. Swindoll,"depression, hope"
The joy of living is the gratitude of the moment.,"Lailah Gifty Akita, Think Great: Be Great!","appreciation, christian, daily-inspiration, daily-living, fatih"
"I scream out the ropes of words that bound my tongue, and the heavens echo back...'I love you'.",Alfa H,"echo, free, heartache, love, words"
No soul sin beyond recovery.,Lailah Gifty Akita,"christian, faith, forgiveness, mercy, recovery"
I really can't think about kissing when I've got a rebellion to incite. ,"Suzanne Collins, Catching Fire","humor, rebellion"
"The man who can keep a secret may be wise, but he is not half as wise as the man with no secrets to keep",Edgar Watson Howe,"inspirational, secrets, wisdom"
"I searched for love, and only found God; I searched for God, and only found love.",Matshona Dhliwayo,"christian, faith, guru, love-quotations, love-quote"
Peace is an inner perception not an outer condition.,Debasish Mridha,"debasish-mridha, inner-perception, inspirational, outer-condition, peace"
Love is an irresistible desire to be irresistibly desired.,Robert Frost,passion
"A doctorate study is the passion for extensive research, reading, thinking and writing.",Lailah Gifty Akita,"doctorate, education, learning, reading, research"
"My mom fed us a lot of processed food when we were kids, like chicken fingers, grilled cheese sandwiches and quesadillas. I make those treats for my family, too, but I use organic cheeses and whole wheat bread and tortillas.",Kourtney Kardashian,"family, food, chicken "
"It is only through labor and painful effort, by grim energy and resolute courage, that we move on to better things.",Theodore Roosevelt,"courage, effort, energy "
Every fragment of time that passes daily must be converted for it to be fully effective,Sunday Adelaja,"calling, destiny, employment, gift, god"
Don’t always deprive yourself trying to please others,Sunday Adelaja,"destiny, god, kingdom, life, love"
Definitions from Mulla Do-Piaza.Poverty: The result of marriage.,"Idries Shah, Caravan of Dreams","marriage, proverb, society, sufis, sufism"
Always ask yourself if you are really serving God,Sunday Adelaja,"appreciating-people, calling, celebrating-people, destiny, employment"
"History tells us that six million Jews disappeared during that war. If there was no Holocaust, where did they go?' She shakes her head. 'All of that, and the world didn't learn anything. Look around. There's still ethnic cleansing. There's discrimination.","Jodi Picoult, The Storyteller","discrimination, historical, society, truth"
Can the Ethiopian change his skin  or the leopard his spots?,Bible,change
Good health is a holy blessing.,"Lailah Gifty Akita, Think Great: Be Great!","abundant-life, blessing, christian-life, emotional, faith"
Troubles teaches us what we must know.,Lailah Gifty Akita,"inspiration, troubles, wise-sayings"
"It is deliberate policy to keep even the favoured groups somewhere near the brink of hardship, because a general state of scarcity increases the importance of small privileges and thus magnifies the distinction between one group and another.","George Orwell, 1984","politics, socialism"
Let's us hold hands together in harmony for a peaceful co -existence for alll humankind in every nation.,Lailah Gifty Akita,"co-existence, harmony, humanity, motivation, nations"
"Reality is, you know, the tip of an iceberg of irrationality that we've managed to drag ourselves up onto for a few panting moments before we slip back into the sea of the unreal.",Terence McKenna,"irrationality, rationality, reality, science, ufos"
Life is like playing a violin in public and learning the instrument as one goes on.,Samuel Butler,life
Discipline Your Mind to Think Positively: Discipline your mind to see the good in every situation and look on the best side of every event.,"Roy T. Bennett, The Light in the Heart","inspiration, inspirational, inspirational-attitude, inspirational-life, inspirational"
Don’t cover up your sore with your wealth. Your wealth has limitations. At the Limit the sore will embarrassing by surface,"Ikechukwu Joseph, Repositioning Yourself for Greater Success","christian-life, motivational"
"Who cares about tomorrow?What more is tomorrow,than another day?(-The Avett Brothers, ""Swept Away"")","Colleen Hoover, Slammed","calm, hapiness, inspirational, keep-calm, quote"
I find love is more of a bacterium than a virus unless you are comparing it to herpes.,"Amanda Mosher, Better to be able to love than to be loveable","herpes, humor, love, virus"
"On the Kite, the situation was being 'workshopped'. This is the means by which people who don't know anything get together to pool their ignorance.","Terry Pratchett, The Last Hero","discworld, humor, ignorance, workshop"
Sometimes I feel as if I'm racing with my own shadow,"Haruki Murakami, After Dark","life, loneliness, shadow"
"The miracle centered gospel gives rise to a generation of people that believes that they don’t need to be good, better than anybody else but just want to pray and get favor.",Sunday Adelaja,"beliefs, favour, generation, miracles, people"
"What is natural, needs to be looked upon, scrutinized and reshaped by each generation of the world, to make it compatible with the path of progress of a civilized society.","Abhijit Naskar, Wise Mating: A Treatise on Monogamy","humanity, philosophy, progress, social-changes, social-development"
Abundance in life is achieved only when we tear down walls and fill our lives with light.,"Seth Adam Smith, Your Life Isn't for You: A Selfish Person's Guide to Being Selfless","abundance, berlin-wall, joy, life, light"
Even the best Mindset will become contaminated and eventually blunted in a toxic organisational culture.,Tony Dovale,"attitudes, beliefs, change-managemnt, growth, happiness"
Stress does not come from problems. It originates from fear which comes from the anticipation of problems.,Debasish Mridha," debasish-mridha, inspirational, philosophy, quotes"
To worry is to wear yourself out.,Lailah Gifty Akita,"positive-outlook, self-help, weary, worry"
I eyed her like a thirsty traveler in the desert looks at a pail of water.,"Faraaz Kazi, Truly, Madly, Deeply","desire, love"
"This is how many people become artists, musicians, writers, computer programmers, record-holding athletes, scientists... by spending time alone practicing what they love.",Meg Cabot,"love, time, musicians "
"I wither slowly in thine arms; here at the quiet limit of the world, a white hair'd shadow roaming like a dream.",Alfred Tennyson,"death, dreaming, dreams, love, lovers"
All our good deeds cannot save us.We are saved by grace and faith in Jesus Christ.,Lailah GiftyAkita,"faith, goodness, grace"
Maybe all that silence about my brother did something to me. I think it did. Not talking can make a guy pretty lonely,"Benjamin Alire Sáenz, Aristotle and Dante Discover the Secrets of the Universe","family, loneliness, lonely, silence"
Were it not for imagination  a man would be as happy in the arms of a chambermaid as of a duchess.,Samuel Johnson,imagination
"To enlighten your life, see beauty.",Debasish Mridha,"beauty, debasish-mridha, inspirational, philosophy, quotes"
The human mind is the principal agent of creation. How we think is the prism for how we perceive reality.,"Kilroy J. Oldster, Dead Toad Scrolls","mind, mindset, mindset, thinking, thinking"
Anger and resentment are problems for our understanding and vision. They happen when we are away from our real purpose and mission.,Debasish Mridha,"education, happiness, hope, inspirational, intelligence"
"The knife will only hurt for a moment. Then your choice will be made, and it will all be over.","Veronica Roth, Four: A Divergent Story Collection","book, books, dauntless, death, gay"
"No one on earth is ""functionless"". The problem we usually have is that functions of people are being displayed in the wrong positions! Change position!","Israelmore Ayivor, Daily Drive 365","action, challenges, change, change-position, earth"
"I think one of the terrible things today is that people have this deathly fear of food: fear of eggs, say, or fear of butter. Most doctors feel that you can have a little bit of everything.",Julia Child,"fear, today, people "
Every morning the sun rises to wake you up with a beautiful message of peace.,Debasish Mridha,"debasish-mridha, inspirational, philosophy, quotes"
"There are no rules, because life is made up of too many rules as it is.","Jennifer Niven, All the Bright Places","life, no-rules, rules"
"When you become the source of joy, when you become the source of peace, your world and world around you become joyful and peaceful. you become the symbol and messenger of joy and peace.",Debasish Mridha,"education, happiness, hope, inspirational, intelligence"
"You can achieve anything, as long as you put your mind to it.",Ane Krstevska,"inspirational, motivational"
"Men love pleasure, but women wish for purposeful promise.",Lailah Gifty Akita,"christian-life, encouragement, humanity-advice, life-lessons, love"
"One of the expedients of party to acquire influence, within particular districts, is to misrepresent the opinions and aims of other districts.","George Washington, George Washington's Farewell Address","lies, partisan, politics"
